,name,rank,enrollment,state,state_code,early_career_pay,mid_career_pay
0,Princeton University,1.0,5400.0,New Jersey,NJ,75200.0,139400.0
1,Harvard University,2.0,6710.0,,,74800.0,146800.0
2,University of Chicago,3.0,5941.0,Illinois,IL,64000.0,114200.0
3,Yale University,3.0,5472.0,Connecticut,CT,70300.0,138300.0
4,Columbia University,5.0,6113.0,New York,NY,,
5,Massachusetts Institute of Technology,5.0,4524.0,Massachusetts,MA,86300.0,155200.0
6,Stanford University,5.0,7034.0,California,CA,79000.0,145200.0
7,University of Pennsylvania,8.0,10019.0,Pennsylvania,PA,72800.0,133900.0
8,Duke University,9.0,6609.0,North Carolina,NC,71100.0,132100.0
9,California Institute of Technology,10.0,979.0,California,CA,84100.0,151600.0
10,Dartmouth College,11.0,4310.0,New Hampshire,NH,71500.0,130900.0
11,Johns Hopkins University,11.0,6117.0,Maryland,MD,67200.0,117100.0
12,Northwestern University,11.0,8353.0,Illinois,IL,63400.0,115400.0
13,Brown University,14.0,6926.0,Rhode Island,RI,68200.0,127600.0
14,Cornell University,14.0,14566.0,New York,NY,70100.0,128200.0
15,Rice University,14.0,3893.0,Texas,TX,71000.0,129500.0
16,Vanderbilt University,14.0,6871.0,Tennessee,TN,65400.0,119100.0
17,University of Notre Dame,18.0,8530.0,Indiana,IN,67000.0,130500.0
18,Washington University in St. Louis,18.0,7540.0,Missouri,MO,,
19,Georgetown University,20.0,7453.0,,DC,,
20,Emory University,21.0,6861.0,Georgia,GA,62000.0,110800.0
21,University of California--Berkeley,21.0,29311.0,,,,
22,University of California--Los Angeles,21.0,30873.0,,,,
23,University of Southern California,21.0,18794.0,California,CA,64500.0,120600.0
24,Carnegie Mellon University,25.0,6673.0,Pennsylvania,PA,75900.0,136100.0
25,University of Virginia,25.0,16331.0,Virginia,VA,,
26,Wake Forest University,27.0,4955.0,North Carolina,NC,60700.0,114800.0
27,University of Michigan--Ann Arbor,28.0,28983.0,,,,
